Filename,gender,grade,race_ethnicity,num_words3,SES,prompt,Overall,Cohesion,Syntax,Vocabulary,Phraseology,Grammar,Conventions,Inflected_Tokens,Derivational_Tokens,Tokens_w_Prefixes,Tokens_w_Affixes,Compounds,number_prefixes_per_cw,number_roots_per_cw,number_suffixes_per_cw,number_affixes_per_cw,num_morphemes_per_lemma,num_morphemes_per_cw,prefix_family_size_per_cw,root_family_size_per_cw,suffix_family_size_per_cw,affix_family_size_per_cw,perc_more_freq_words_morpho_family_prefix_per_cw,prefix_freq_per_cw,prefix_log_freq_per_cw,perc_more_freq_words_morpho_family_root,root_freq,root_log_freq,perc_more_freq_words_morpho_family_suffix_per_cw,suffix_freq_per_cw,suffix_log_freq_per_cw,perc_more_freq_words_morpho_family_affix_per_cw,affix_freq_per_cw,affix_log_freq_per_cw,prefix_in_hapax_per_cw,hapax_in_prefix_per_cw,suffix_in_hapax_per_cw,hapax_in_suffix_per_cw,affix_in_hapax_per_cw,hapax_in_affix_per_cw,prefix_len_per_cw,suffix_len_per_cw,affix_len_per_cw,mean_subset_inflectional_variety_10,inflectional_TTR_10,inflectional_MCI_10,mean_subset_derivational_variety_10,derivational_TTR_10,derivational_MCI_10
2021000501,Male,8,Hispanic/Latino,118,Economically disadvantaged,Cell phones at school,3,3.5,2.5,3.5,3,3.5,2.5,0.254545455,0.090909091,0.018181818,0.090909091,0,0.018181818,0.890909091,0.090909091,0.109090909,1,1.254545455,5.381818182,15.18181818,122.9818182,128.3636364,0.289676425,8229.181818,0.102831261,1.246556474,309963.8364,4.729940158,0.666268853,347428.9091,0.585797112,0.955945278,355658.0909,0.688628373,1.21E-06,8.43E-05,1.59E-06,0.000881985,2.80E-06,0.000966251,0.054545455,0.236363636,0.290909091,2.333333333,0.15,-0.277777778,1,0.666666667,-0.166666667
2021000535,Female,8,Hispanic/Latino,102,Economically disadvantaged,Cell phones at school,3,2.5,3,4,3.5,3,3.5,0.48,0.22,0.02,0.2,0,0.02,0.94,0.2,0.22,1.16,1.64,2.14,13.76,208.68,210.82,0,4300.28,0.106649335,1.435087719,253995.52,4.907267232,0.122714414,457187.7,1.256772373,0.122714414,461487.98,1.363421708,9.30E-07,3.09E-05,3.59E-06,0.001792059,4.52E-06,0.001822957,0.06,0.52,0.58,3.2,0.22,0.84,2,0.95,0
2021000667,Female,8,Hispanic/Latino,128,Economically disadvantaged,Cell phones at school,3,2.5,3,3,3,3.5,3,0.423076923,0.173076923,0.019230769,0.173076923,0,0.019230769,0.903846154,0.173076923,0.192307692,1.096153846,1.519230769,1.846153846,12.30769231,147.2115385,149.0576923,0.425101215,7653.153846,0.107689304,2.106227106,218232.5192,4.642053598,0.542318862,371608.3269,1.085113282,0.967420076,379261.4808,1.192802586,3.38E-07,2.08E-05,2.41E-06,0.001197281,2.74E-06,0.001218077,0.019230769,0.5,0.519230769,2.333333333,0.2,-0.277777778,1.333333333,0.736111111,-0.444444444
2021000683,Male,8,Hispanic/Latino,192,Economically disadvantaged,Cell phones at school,3,2,2.5,3,3,3,2.5,0.371428571,0.014285714,0,0.014285714,0,0,0.828571429,0.014285714,0.014285714,0.842857143,1.214285714,0,15.48571429,2.485714286,2.485714286,0,0,0,0.782312925,254652.8714,4.278814775,0.04954583,5630.185714,0.079937439,0.04954583,5630.185714,0.079937439,0,0,3.99E-07,2.43E-05,3.99E-07,2.43E-05,0,0.042857143,0.042857143,3,0.2,-0.571428571,0.142857143,0.142857143,-0.836734694
2021000705,Female,8,Hispanic/Latino,201,Not economically disadvantaged,Cell phones at school,3,2,3,3,3,3,2,0.329545455,0.090909091,0.011363636,0.079545455,0,0.011363636,0.852272727,0.079545455,0.090909091,0.943181818,1.272727273,3.363636364,12.88636364,129.6363636,133,0.107858243,5143.238636,0.064269538,0.883838384,242579.8977,4.469343938,0.12178421,418109.625,0.531424604,0.229642453,423252.8636,0.595694142,7.53E-07,5.27E-05,1.31E-06,0.001004171,2.06E-06,0.001056837,0.034090909,0.215909091,0.25,2.666666667,0.169444444,-0.703703704,0.888888889,0.666666667,-0.679012346
2021000748,Female,8,Hispanic/Latino,407,Economically disadvantaged,Cell phones at school,3,3.5,3.5,3.5,3,4,3,0.324675325,0.136363636,0.025974026,0.11038961,0,0.025974026,0.909090909,0.116883117,0.142857143,1.051948052,1.376623377,5.954545455,15.50649351,101.1948052,107.1493506,0.135916252,15311.03896,0.146122199,0.771110116,313376.0844,4.796116051,0.169627714,276670.5325,0.737548691,0.305543966,291981.5714,0.88367089,9.73E-07,8.33E-05,1.69E-06,0.000731309,2.66E-06,0.000814572,0.058441558,0.337662338,0.396103896,2.6875,0.16875,-0.70703125,1.1875,0.56875,-0.42578125
2021000756,Male,8,Hispanic/Latino,257,Not economically disadvantaged,Cell phones at school,2.5,2.5,2,3,2.5,2.5,3,0.22826087,0.119565217,0.010869565,0.108695652,0,0.010869565,0.913043478,0.108695652,0.119565217,1.032608696,1.260869565,3.217391304,17.26086957,159.2282609,162.4456522,0.103168755,4919.619565,0.06147521,2.367149758,370443.6304,4.831719238,0.245086428,384818.1196,0.704624825,0.348255183,389737.7391,0.766100035,7.21E-07,5.04E-05,2.42E-06,0.001549916,3.14E-06,0.001600293,0.032608696,0.282608696,0.315217391,2.3,0.17,-0.57,0.9,0.633333333,-0.61
2021001001,Female,8,Hispanic/Latino,225,Economically disadvantaged,Cell phones at school,3.5,2.5,3.5,3.5,3,4,3.5,0.31,0.14,0.01,0.13,0,0.01,0.87,0.13,0.14,1.01,1.32,4.99,12.95,160.45,165.44,0.196787149,21756.58,0.063375906,1.168803419,290813.14,4.58307976,0.114184732,402628.83,0.829446971,0.31097188,424385.41,0.892822878,1.38E-07,4.63E-05,2.74E-06,0.001350224,2.88E-06,0.00139657,0.02,0.35,0.37,2.4,0.14,-0.66,1.2,0.641666667,-0.58
2021001035,Female,8,Hispanic/Latino,61,Economically disadvantaged,Cell phones at school,2,2,2,2.5,2.5,3,2,0.260869565,0.043478261,0,0.043478261,0,0,0.913043478,0.043478261,0.043478261,0.956521739,1.217391304,0,21.73913043,98.86956522,98.86956522,0,0,0,1.449275362,446662.1739,4.985996592,0.065035674,198657.3478,0.289557933,0.065035674,198657.3478,0.289557933,0,0,1.54E-06,0.001088132,1.54E-06,0.001088132,0,0.086956522,0.086956522,2,0.1,0,0.333333333,0.333333333,-0.555555556
2021001060,Male,8,Hispanic/Latino,27,Economically disadvantaged,Cell phones at school,2,1.5,2,2,2,2.5,2,0.181818182,0.090909091,0,0.090909091,0,0,0.909090909,0.090909091,0.090909091,1,1.181818182,0,13.81818182,42.18181818,42.18181818,0,0,0,0,143053.1818,4.601354521,0.019634793,139508.4545,0.562363019,0.019634793,139508.4545,0.562363019,0,0,7.11E-07,0.000168532,7.11E-07,0.000168532,0,0.272727273,0.272727273,1.5,0.05,-0.25,0.5,0.5,-0.25
2021001116,Male,8,Hispanic/Latino,266,Economically disadvantaged,Cell phones at school,4,3,4,3,4,4,3,0.367924528,0.150943396,0.018867925,0.132075472,0,0.018867925,0.952830189,0.141509434,0.160377358,1.113207547,1.481132075,1.547169811,15.14150943,127.0188679,128.5660377,0,4225.292453,0.09986863,1.326370171,317768.934,4.984174833,0.172343986,330577.0377,0.889420918,0.172343986,334802.3302,0.989289548,1.99E-07,1.02E-05,2.72E-06,0.001095989,2.92E-06,0.001106191,0.037735849,0.405660377,0.443396226,2.909090909,0.203030303,-0.553719008,1.363636364,0.572727273,-0.239669421
